item,cond,comparative,repeatability,quantifier,ellipsis,additive,sentence,,,
24,4,illusion,non-repeatable,fewer,noellip,justme,This year fewer seniors had their left hip replaced than Timothy had his appendix removed.,,,
24,5,control,non-repeatable,more,ellipsis,notjust,This year more seniors had their left hip replaced than young adults did.,,,
24,6,control,non-repeatable,more,noellip,notjust,This year more seniors had their left hip replaced than young adults had their appendix removed.,,,
24,7,control,non-repeatable,fewer,ellipsis,notjust,This year fewer seniors had their left hip replaced than young adults did.,,,
24,8,control,non-repeatable,fewer,noellip,notjust,This year fewer seniors had their left hip replaced than young adults had their appendix removed.,,,
25,1,illusion,repeatable,more,ellipsis,justme,More lawyers go to the gym on weekends than Adelle does.,,,
25,2,illusion,repeatable,more,noellip,justme,More lawyers go to the gym on weekends than Adelle goes to the pool.,,,
25,3,illusion,repeatable,fewer,ellipsis,justme,Fewer lawyers go to the gym on weekends than Adelle does.,,,
25,4,illusion,repeatable,fewer,noellip,justme,Fewer lawyers go to the gym on weekends than Adelle goes to the pool.,,,
25,5,control,repeatable,more,ellipsis,notjust,More lawyers go to the gym on weekends than models do.,,,
25,6,control,repeatable,more,noellip,notjust,More lawyers go to the gym on weekends than models go to the pool.,,,
25,7,control,repeatable,fewer,ellipsis,notjust,Fewer lawyers go to the gym on weekends than models do.,,,
25,8,control,repeatable,fewer,noellip,notjust,Fewer lawyers go to the gym on weekends than models go to the pool.,,,
26,1,illusion,repeatable,more,ellipsis,notjust,At school more boys get in trouble for fighting than Lisa does.,,,
26,2,illusion,repeatable,more,noellip,notjust,At school more boys get in trouble for fighting than Lisa gets in trouble for talking.,,,
26,3,illusion,repeatable,fewer,ellipsis,notjust,At school fewer boys get in trouble for fighting than Lisa does.,,,
26,4,illusion,repeatable,fewer,noellip,notjust,At school fewer boys get in trouble for fighting than Lisa gets in trouble for talking.,,,
26,5,control,repeatable,more,ellipsis,notjust,At school more boys get in trouble for fighting than girls do.,,,
26,6,control,repeatable,more,noellip,notjust,At school more boys get in trouble for fighting than girls get in trouble for talking.,,,
26,7,control,repeatable,fewer,ellipsis,notjust,At school fewer boys get in trouble for fighting than girls do.,,,
26,8,control,repeatable,fewer,noellip,notjust,At school fewer boys get in trouble for fighting than girls get in trouble for talking.,,,
27,1,illusion,repeatable,more,ellipsis,justme,More commuters take the train on the weekend than Donald does.,,,
27,2,illusion,repeatable,more,noellip,justme,More commuters take the train on the weekend than Donald takes the bus.,,,
27,3,illusion,repeatable,fewer,ellipsis,justme,Fewer commuters take the train on the weekend than Donald does.,,,
27,4,illusion,repeatable,fewer,noellip,justme,Fewer commuters take the train on the weekend than Donald takes the bus.,,,
27,5,control,repeatable,more,ellipsis,notjust,More commuters take the train on the weekend than tourists do.,,,
27,6,control,repeatable,more,noellip,notjust,More commuters take the train on the weekend than tourists take the bus.,,,
27,7,control,repeatable,fewer,ellipsis,notjust,Fewer commuters take the train on the weekend than tourists do.,,,
27,8,control,repeatable,fewer,noellip,notjust,Fewer commuters take the train on the weekend than tourists take the bus.,,,
28,1,illusion,repeatable,more,ellipsis,justme,More kids go to camp in the summer than Martha's son does.,,,
28,2,illusion,repeatable,more,noellip,justme,More kids go to camp in the summer than Martha's son goes to Arizona in the winter.,,,
28,3,illusion,repeatable,fewer,ellipsis,justme,Fewer kids go to camp in the summer than Martha's son does.,,,
28,4,illusion,repeatable,fewer,noellip,justme,Fewer kids go to camp in the summer than Martha's son goes to Arizona in the winter.,,,
28,5,control,repeatable,more,ellipsis,notjust,More kids go to camp in the summer than teenagers do.,,,
28,6,control,repeatable,more,noellip,notjust,More kids go to camp in the summer than teenagers go to Arizona in the winter.,,,
28,7,control,repeatable,fewer,ellipsis,notjust,Fewer kids go to camp in the summer than teenagers do.,,,
28,8,control,repeatable,fewer,noellip,notjust,Fewer kids go to camp in the summer than teenagers go to Arizona in the winter.,,,
29,1,illusion,repeatable,more,ellipsis,justme,More Canadians play hockey in the winter than Steven does.,,,
29,2,illusion,repeatable,more,noellip,justme,More Canadians play hockey in the winter than Steven plays racquetball.,,,
29,3,illusion,repeatable,fewer,ellipsis,justme,Fewer Canadians play hockey in the winter than Steven does.,,,
29,4,illusion,repeatable,fewer,noellip,justme,Fewer Canadians play hockey in the winter than Steven plays racquetball.,,,
29,5,control,repeatable,more,ellipsis,notjust,More Canadians play hockey in the winter than Americans do.,,,
29,6,control,repeatable,more,noellip,notjust,More Canadians play hockey in the winter than Americans play racquetball.,,,
29,7,control,repeatable,fewer,ellipsis,notjust,Fewer Canadians play hockey in the winter than Americans do.,,,
29,8,control,repeatable,fewer,noellip,notjust,Fewer Canadians play hockey in the winter than Americans play racquetball.,,,
30,1,illusion,repeatable,more,ellipsis,justme,More biologists travel to the Pacific Islands than Max does.,,,
30,2,illusion,repeatable,more,noellip,justme,More biologists travel to the Pacific Islands than Max travels to Australia.,,,
30,3,illusion,repeatable,fewer,ellipsis,justme,Fewer biologists travel to the Pacific Islands than Max does.,,,
30,4,illusion,repeatable,fewer,noellip,justme,Fewer biologists travel to the Pacific Islands than Max travels to Australia.,,,
30,5,control,repeatable,more,ellipsis,notjust,More biologists travel to the Pacific Islands than anthropologists do.,,,
30,6,control,repeatable,more,noellip,notjust,More biologists travel to the Pacific Islands than anthropologists travel to Australia.,,,
30,7,control,repeatable,fewer,ellipsis,notjust,Fewer biologists travel to the Pacific Islands than anthropologists do.,,,
30,8,control,repeatable,fewer,noellip,notjust,Fewer biologists travel to the Pacific Islands than anthropologists travel to Australia.,,,
31,1,illusion,repeatable,more,ellipsis,notjust,More acrobats have performed on this stage than the juggler has.,,,
31,2,illusion,repeatable,more,noellip,notjust,More acrobats have performed on this stage than the juggler has performed in the circus.,,,
31,3,illusion,repeatable,fewer,ellipsis,notjust,Fewer acrobats have performed on this stage than the juggler has.,,,
31,4,illusion,repeatable,fewer,noellip,notjust,Fewer acrobats have performed on this stage than the juggler has performed in the circus.,,,
31,5,control,repeatable,more,ellipsis,notjust,More acrobats have performed on this stage than jugglers have.,,,
31,6,control,repeatable,more,noellip,notjust,More acrobats have performed on this stage than jugglers have performed in the circus.,,,
31,7,control,repeatable,fewer,ellipsis,notjust,Fewer acrobats have performed on this stage than jugglers have.,,,
31,8,control,repeatable,fewer,noellip,notjust,Fewer acrobats have performed on this stage than jugglers have performed in the circus.,,,
32,1,illusion,repeatable,more,ellipsis,justme,These days more farmers gamble in Vegas than Sally-Mae does.,,,
32,2,illusion,repeatable,more,noellip,justme,These days more farmers gamble in Vegas than Sally-Mae gambles in Atlantic City.,,,
32,3,illusion,repeatable,fewer,ellipsis,justme,These days fewer farmers gamble in Vegas than Sally-Mae does.,,,
32,4,illusion,repeatable,fewer,noellip,justme,These days fewer farmers gamble in Vegas than Sally-Mae gambles in Atlantic City.,,,
32,5,control,repeatable,more,ellipsis,notjust,These days more farmers gamble in Vegas than waitresses do.,,,
32,6,control,repeatable,more,noellip,notjust,These days more farmers gamble in Vegas than waitresses gamble in Atlantic City.,,,
32,7,control,repeatable,fewer,ellipsis,notjust,These days fewer farmers gamble in Vegas than waitresses do.,,,
32,8,control,repeatable,fewer,noellip,notjust,These days fewer farmers gamble in Vegas than waitresses gamble in Atlantic City.,,,
33,1,illusion,repeatable,more,ellipsis,notjust,More students get involved with team sports than the teacher does.,,,
33,2,illusion,repeatable,more,noellip,notjust,More students get involved with team sports than the teacher gets involved in community service.,,,
33,3,illusion,repeatable,fewer,ellipsis,notjust,Fewer students get involved with team sports than the teacher does.,,,
33,4,illusion,repeatable,fewer,noellip,notjust,Fewer students get involved with team sports than the teacher gets involved in community service.,,,
33,5,control,repeatable,more,ellipsis,notjust,More students get involved with team sports than teachers do.,,,
33,6,control,repeatable,more,noellip,notjust,More students get involved with team sports than teachers get involved in community service.,,,
33,7,control,repeatable,fewer,ellipsis,notjust,Fewer students get involved with team sports than teachers do.,,,
33,8,control,repeatable,fewer,noellip,notjust,Fewer students get involved with team sports than teachers get involved in community service.,,,
34,1,illusion,repeatable,more,ellipsis,justme,More Swiss teenagers open checking accounts than Ezra does.,,,
34,2,illusion,repeatable,more,noellip,justme,More Swiss teenagers open checking accounts than Ezra opens savings accounts.,,,
34,3,illusion,repeatable,fewer,ellipsis,justme,Fewer Swiss teenagers open checking accounts than Ezra does.,,,
34,4,illusion,repeatable,fewer,noellip,justme,Fewer Swiss teenagers open checking accounts than Ezra opens savings accounts.,,,
34,5,control,repeatable,more,ellipsis,notjust,More Swiss teenagers open checking accounts than British teenagers do.,,,
34,6,control,repeatable,more,noellip,notjust,More Swiss teenagers open checking accounts than British teenagers open savings accounts.,,,
34,7,control,repeatable,fewer,ellipsis,notjust,Fewer Swiss teenagers open checking accounts than British teenagers do.,,,
34,8,control,repeatable,fewer,noellip,notjust,Fewer Swiss teenagers open checking accounts than British teenagers open savings accounts.,,,
35,1,illusion,repeatable,more,ellipsis,justme,For vacation more Europeans travel to New Zealand than Vanessa does.,,,
35,2,illusion,repeatable,more,noellip,justme,For vacation more Europeans travel to New Zealand than Vanessa travels to Africa.,,,
35,3,illusion,repeatable,fewer,ellipsis,justme,For vacation fewer Europeans travel to New Zealand than Vanessa does.,,,
35,4,illusion,repeatable,fewer,noellip,justme,For vacation fewer Europeans travel to New Zealand than Vanessa travels to Africa.,,,
35,5,control,repeatable,more,ellipsis,notjust,For vacation more Europeans travel to New Zealand than Latin Americans do.,,,
35,6,control,repeatable,more,noellip,notjust,For vacation more Europeans travel to New Zealand than Latin Americans travel to Africa.,,,
35,7,control,repeatable,fewer,ellipsis,notjust,For vacation fewer Europeans travel to New Zealand than Latin Americans do.,,,
35,8,control,repeatable,fewer,noellip,notjust,For vacation fewer Europeans travel to New Zealand than Latin Americans travel to Africa.,,,
36,1,illusion,repeatable,more,ellipsis,justme,More Californians have cheated on their taxes than she has.,,,
36,2,illusion,repeatable,more,noellip,justme,More Californians have cheated on their taxes than she has cheated on her exams.,,,
36,3,illusion,repeatable,fewer,ellipsis,justme,Fewer Californians have cheated on their taxes than she has.,,,
36,4,illusion,repeatable,fewer,noellip,justme,Fewer Californians have cheated on their taxes than she has cheated on her exams.,,,
36,5,control,repeatable,more,ellipsis,notjust,More Californians have cheated on their taxes than university students have.,,,
36,6,control,repeatable,more,noellip,notjust,More Californians have cheated on their taxes than university students have cheated on their exams.,,,
36,7,control,repeatable,fewer,ellipsis,notjust,Fewer Californians have cheated on their taxes than university students have.,,,
36,8,control,repeatable,fewer,noellip,notjust,Fewer Californians have cheated on their taxes than university students have cheated on their exams.,,,
37,1,illusion,repeatable,more,ellipsis,notjust,This year more reporters have bought lottery tickets than the cameraman has.,,,
37,2,illusion,repeatable,more,noellip,notjust,This year more reporters have bought lottery tickets than the cameraman has bought stocks.,,,
37,3,illusion,repeatable,fewer,ellipsis,notjust,This year fewer reporters have bought lottery tickets than the cameraman has.,,,
37,4,illusion,repeatable,fewer,noellip,notjust,This year fewer reporters have bought lottery tickets than the cameraman has bought stocks.,,,
37,5,control,repeatable,more,ellipsis,notjust,This year more reporters have bought lottery tickets than cameramen have.,,,
37,6,control,repeatable,more,noellip,notjust,This year more reporters have bought lottery tickets than cameramen have bought stocks.,,,
37,7,control,repeatable,fewer,ellipsis,notjust,This year fewer reporters have bought lottery tickets than cameramen have.,,,
37,8,control,repeatable,fewer,noellip,notjust,This year fewer reporters have bought lottery tickets than cameramen have bought stocks.,,,
38,1,illusion,repeatable,more,ellipsis,justme,This season more freshmen attended away games than Julie did.,,,
38,2,illusion,repeatable,more,noellip,justme,This season more freshmen attended away games than Julie attended home games.,,,
38,3,illusion,repeatable,fewer,ellipsis,justme,This season fewer freshmen attended away games than Julie did.,,,
38,4,illusion,repeatable,fewer,noellip,justme,This season fewer freshmen attended away games than Julie attended home games.,,,
38,5,control,repeatable,more,ellipsis,notjust,This season more freshmen attended away games than sophomores did.,,,
38,6,control,repeatable,more,noellip,notjust,This season more freshmen attended away games than sophomores attended home games.,,,
38,7,control,repeatable,fewer,ellipsis,notjust,This season fewer freshmen attended away games than sophomores did.,,,
38,8,control,repeatable,fewer,noellip,notjust,This season fewer freshmen attended away games than sophomores attended home games.,,,
39,1,illusion,repeatable,more,ellipsis,notjust,More plumbers receive employee health benefits than the carpenter does.,,,
39,2,illusion,repeatable,more,noellip,notjust,More plumbers receive employee health benefits than the carpenter receives retirement benefits.,,,
39,3,illusion,repeatable,fewer,ellipsis,notjust,Fewer plumbers receive employee health benefits than the carpenter does.,,,
39,4,illusion,repeatable,fewer,noellip,notjust,Fewer plumbers receive employee health benefits than the carpenter receives retirement benefits.,,,
39,5,control,repeatable,more,ellipsis,notjust,More plumbers receive employee health benefits than carpenters do.,,,
39,6,control,repeatable,more,noellip,notjust,More plumbers receive employee health benefits than carpenters receive retirement benefits.,,,
39,7,control,repeatable,fewer,ellipsis,notjust,Fewer plumbers receive employee health benefits than carpenters do.,,,
39,8,control,repeatable,fewer,noellip,notjust,Fewer plumbers receive employee health benefits than carpenters receive retirement benefits.,,,
40,1,illusion,repeatable,more,ellipsis,justme,More youngsters wear red overalls to school than Amos does.,,,
40,2,illusion,repeatable,more,noellip,justme,More youngsters wear red overalls to school than Amos wears blue corduroys to work.,,,
40,3,illusion,repeatable,fewer,ellipsis,justme,Fewer youngsters wear red overalls to school than Amos does.,,,
40,4,illusion,repeatable,fewer,noellip,justme,Fewer youngsters wear red overalls to school than Amos wears blue corduroys to work.,,,
40,5,control,repeatable,more,ellipsis,notjust,More youngsters wear red overalls to school than teachers do.,,,
40,6,control,repeatable,more,noellip,notjust,More youngsters wear red overalls to school than teachers wear blue corduroys to work.,,,
40,7,control,repeatable,fewer,ellipsis,notjust,Fewer youngsters wear red overalls to school than teachers do.,,,
40,8,control,repeatable,fewer,noellip,notjust,Fewer youngsters wear red overalls to school than teachers wear blue corduroys to work.,,,
41,1,illusion,repeatable,more,ellipsis,notjust,These days more customers call to complain than the shareholder does.,,,
41,2,illusion,repeatable,more,noellip,notjust,These days more customers call to complain than the shareholder calls to offer praise.,,,
41,3,illusion,repeatable,fewer,ellipsis,notjust,These days fewer customers call to complain than the shareholder does.,,,
41,4,illusion,repeatable,fewer,noellip,notjust,These days fewer customers call to complain than the shareholder calls to offer praise.,,,
41,5,control,repeatable,more,ellipsis,notjust,These days more customers call to complain than shareholders do.,,,
41,6,control,repeatable,more,noellip,notjust,These days more customers call to complain than shareholders call to offer praise.,,,
41,7,control,repeatable,fewer,ellipsis,notjust,These days fewer customers call to complain than shareholders do.,,,
41,8,control,repeatable,fewer,noellip,notjust,These days fewer customers call to complain than shareholders call to offer praise.,,,
42,1,illusion,repeatable,more,ellipsis,justme,More teenage boys skip school on Wednesdays than Julie does.,,,
42,2,illusion,repeatable,more,noellip,justme,More teenage boys skip school on Wednesdays than Julie skips school on Fridays.,,,
42,3,illusion,repeatable,fewer,ellipsis,justme,Fewer teenage boys skip school on Wednesdays than Julie does.,,,
42,4,illusion,repeatable,fewer,noellip,justme,Fewer teenage boys skip school on Wednesdays than Julie skips school on Fridays.,,,
42,5,control,repeatable,more,ellipsis,notjust,More teenage boys skip school on Wednesdays than teenage girls do.,,,
42,6,control,repeatable,more,noellip,notjust,More teenage boys skip school on Wednesdays than teenage girls skip school on Fridays.,,,
42,7,control,repeatable,fewer,ellipsis,notjust,Fewer teenage boys skip school on Wednesdays than teenage girls do.,,,
42,8,control,repeatable,fewer,noellip,notjust,Fewer teenage boys skip school on Wednesdays than teenage girls skip school on Fridays.,,,
43,1,illusion,repeatable,more,ellipsis,notjust,More grandparents lose money at the casino than the young parent does.,,,
43,2,illusion,repeatable,more,noellip,notjust,More grandparents lose money at the casino than the young parent loses money at the horse races.,,,
43,3,illusion,repeatable,fewer,ellipsis,notjust,Fewer grandparents lose money at the casino than the young parent does.,,,
43,4,illusion,repeatable,fewer,noellip,notjust,Fewer grandparents lose money at the casino than the young parent loses money at the horse races. ,,,
43,5,control,repeatable,more,ellipsis,notjust,More grandparents lose money at the casino than young parents do.,,,
43,6,control,repeatable,more,noellip,notjust,More grandparents lose money at the casino than young parents lose money at the horse races. ,,,
43,7,control,repeatable,fewer,ellipsis,notjust,Fewer grandparents lose money at the casino than young parents do.,,,
43,8,control,repeatable,fewer,noellip,notjust,Fewer grandparents lose money at the casino than young parents lose money at the horse races. ,,,
44,1,illusion,repeatable,more,ellipsis,notjust,More undergrads call their families during the week than the grad student does.,,,
44,2,illusion,repeatable,more,noellip,notjust,More undergrads call their families during the week than the grad student calls her best friend.,,,
44,3,illusion,repeatable,fewer,ellipsis,notjust,Fewer undergrads call their families during the week than the grad student does.,,,
44,4,illusion,repeatable,fewer,noellip,notjust,Fewer undergrads call their families during the week than the grad student calls her best friend.,,,
44,5,control,repeatable,more,ellipsis,notjust,More undergrads call their families during the week than grad students do.,,,
44,6,control,repeatable,more,noellip,notjust,More undergrads call their families during the week than grad students call their best friends.,,,
44,7,control,repeatable,fewer,ellipsis,notjust,Fewer undergrads call their families during the week than grad students do.,,,
44,8,control,repeatable,fewer,noellip,notjust,Fewer undergrads call their families during the week than grad students call their best friends.,,,
45,1,illusion,repeatable,more,ellipsis,justme,More women have been treated at this hospital than Mack has.,,,
45,2,illusion,repeatable,more,noellip,justme,More women have been treated at this hospital than Mack has been fed at that diner.,,,
45,3,illusion,repeatable,fewer,ellipsis,justme,Fewer women have been treated at this hospital than Mack has.,,,
45,4,illusion,repeatable,fewer,noellip,justme,Fewer women have been treated at this hospital than Mack has been fed at that diner.,,,
45,5,control,repeatable,more,ellipsis,notjust,More women have been treated at this hospital than men have.,,,
45,6,control,repeatable,more,noellip,notjust,More women have been treated at this hospital than men have been fed at that diner.,,,
45,7,control,repeatable,fewer,ellipsis,notjust,Fewer women have been treated at this hospital than men have.,,,
45,8,control,repeatable,fewer,noellip,notjust,Fewer women have been treated at this hospital than men have been fed at that diner.,,,
46,1,illusion,repeatable,more,ellipsis,notjust,More Australian students have taken a year off than the Korean student has.,,,
46,2,illusion,repeatable,more,noellip,notjust,More Australian students have taken a year off than the Korean student has taken a semester abroad.,,,
46,3,illusion,repeatable,fewer,ellipsis,notjust,Fewer Australian students have taken a year off than the Korean student has.,,,
46,4,illusion,repeatable,fewer,noellip,notjust,Fewer Australian students have taken a year off than the Korean student has taken a semester abroad.,,,
46,5,control,repeatable,more,ellipsis,notjust,More Australian students have taken a year off than Korean students have.,,,
46,6,control,repeatable,more,noellip,notjust,More Australian students have taken a year off than Korean students have taken a semester abroad.,,,
46,7,control,repeatable,fewer,ellipsis,notjust,Fewer Australian students have taken a year off than Korean students have.,,,
46,8,control,repeatable,fewer,noellip,notjust,Fewer Australian students have taken a year off than Korean students have taken a semester abroad.,,,
47,1,illusion,repeatable,more,ellipsis,justme,More sophomores have attended departmental Open Houses than Parker has.,,,
47,2,illusion,repeatable,more,noellip,justme,More sophomores have attended departmental Open Houses than Parker has attended orientation.,,,
47,3,illusion,repeatable,fewer,ellipsis,justme,Fewer sophomores have attended departmental Open Houses than Parker has.,,,
47,4,illusion,repeatable,fewer,noellip,justme,Fewer sophomores have attended departmental Open Houses than Parker has attended orientation.,,,
47,5,control,repeatable,more,ellipsis,notjust,More sophomores have attended departmental Open Houses than seniors have.,,,
47,6,control,repeatable,more,noellip,notjust,More sophomores have attended departmental Open Houses than seniors have attended orientation.,,,
47,7,control,repeatable,fewer,ellipsis,notjust,Fewer sophomores have attended departmental Open Houses than seniors have.,,,
47,8,control,repeatable,fewer,noellip,notjust,Fewer sophomores have attended departmental Open Houses than seniors have attended orientation.,,,
48,1,illusion,repeatable,more,ellipsis,notjust,More neighborhood boys take swimming lessons than Isabel does.,,,
48,2,illusion,repeatable,more,noellip,notjust,More neighborhood boys take swimming lessons than Isabel takes riding lessons.,,,
48,3,illusion,repeatable,fewer,ellipsis,notjust,Fewer neighborhood boys take swimming lessons than Isabel does.,,,
48,4,illusion,repeatable,fewer,noellip,notjust,Fewer neighborhood boys take swimming lessons than Isabel takes riding lessons.,,,
48,5,control,repeatable,more,ellipsis,notjust,More neighborhood boys take swimming lessons than out-of-towners do.,,,
48,6,control,repeatable,more,noellip,notjust,More neighborhood boys take swimming lessons than out-of-towners take riding lessons.,,,
48,7,control,repeatable,fewer,ellipsis,notjust,Fewer neighborhood boys take swimming lessons than out-of-towners do.,,,
48,8,control,repeatable,fewer,noellip,notjust,Fewer neighborhood boys take swimming lessons than out-of-towners takes riding lessons.,,,